Systematic_ID	Mass (kDa)	pI	Charge	Residues	CAI
SPAC27D7.08c	44.42	8.39	6.84	385	0.54
SPAC27D7.09c	39.74	5.01	-7.54	383	0.56
SPAC27D7.11c	48.39	4.84	-9.54	463	0.54
SPAC27D7.12c	27.42	7.53	1.94	243	0.57
SPAC27D7.13c	77.11	8.95	11.43	670	0.62
SPAC27D7.14c	119.15	6.28	-7.99	1039	0.65
SPAC27E2.01	56.68	5	-18.84	491	0.6
SPAC27E2.02	31.49	4.6	-15.39	280	0.61
SPAC27E2.03c	44.33	7.95	2.33	392	0.51
SPAC27E2.04c	22.40	10.94	25.2	187	0.62
SPAC27E2.05	51.33	5.05	-12.65	462	0.6
SPAC27E2.06c	61.95	8.35	7.64	539	0.59
SPAC27E2.07	45.06	5.63	-7.73	389	0.64
SPAC27E2.08	154.92	9.57	42.48	1333	0.57
SPAC27E2.09	264.62	7.41	9.23	2310	0.62
SPAC27E2.10c	38.44	7.96	3.89	342	0.66
SPAC27E2.11c	7.99	8.51	0.94	81	0.33
SPAC27E2.12	8.70	8.21	3.21	76	0.52
SPAC27E2.14	4.12	12.39	7.18	34	0.38
SPAC27F1.02c	18.96	4.32	-18.49	161	0.39
SPAC27F1.03c	24.91	4.47	-14.61	222	0.59
SPAC27F1.04c	51.91	5.28	-11.72	441	0.61
SPAC27F1.05c	53.19	5.92	-5.34	484	0.57
SPAC27F1.06c	40.54	4.31	-30.28	362	0.59
SPAC27F1.07	51.68	4.86	-12.3	450	0.56
SPAC27F1.08	57.64	7.09	0.34	521	0.58
SPAC27F1.09c	132.67	5.88	-15.78	1166	0.57
SPAC27F1.10	11.76	8.8	3.12	101	0.54
SPAC29A4.02c	45.70	7.15	0.5	409	0.51
SPAC29A4.03c	31.16	10.7	29.81	272	0.64
SPAC29A4.04c	53.11	9.39	15.88	474	0.53
SPAC29A4.05	16.22	4.23	-11.76	143	0.51
SPAC29A4.06c	41.01	9.89	11.7	355	0.56
SPAC29A4.07	15.38	4.4	-7.55	136	0.55
SPAC29A4.08c	54.19	4.76	-16.28	488	0.58
SPAC29A4.09	24.33	10.07	8.97	203	0.54
SPAC29A4.10	64.03	4.98	-18.91	556	0.63
SPAC29A4.11	108.65	7.73	10.61	969	0.67
SPAC29A4.12c	16.78	4.77	-10.07	150	0.53
SPAC29A4.13	26.79	6.62	-1.45	235	0.61
SPAC29A4.14c	39.44	4.68	-10.47	346	0.62
SPAC29A4.15	51.64	6.27	-4.08	450	0.53
SPAC29A4.16	69.11	9.31	17.77	636	0.6
SPAC29A4.17c	16.36	10.45	9.57	147	0.6
SPAC29A4.18	48.48	5.15	-18.48	431	0.56
SPAC29A4.19c	121.93	6.84	-1.7	1096	0.57
SPAC29A4.20	61.85	8.54	10.52	544	0.61
SPAC29A4.22	8.48	10.07	5.42	73	0.49
SPAC29A4.23	21.02	6.27	-1.37	182	0.52
SPAC29B12.01	183.05	8.47	15.21	1604	0.59
SPAC29B12.02c	90.68	8.79	18.32	798	0.6
SPAC29B12.03	14.23	7.68	0.46	124	0.54
SPAC29B12.04	31.40	6.16	-2.15	296	0.47
SPAC29B12.05c	35.77	9.68	14.91	309	0.63
SPAC29B12.06c	32.21	6.61	-1.56	283	0.57
SPAC29B12.07	218.09	4.72	-73.94	1995	0.62
SPAC29B12.08	75.68	7.39	4.82	689	0.59
SPAC29B12.10c	96.30	9.65	26.09	851	0.63
SPAC29B12.11c	19.70	4.67	-6.5	174	0.56
SPAC29B12.12	13.10	8.21	5.56	113	0.51
SPAC29B12.13	15.56	5.74	-1.9	137	0.58
SPAC29B12.14c	65.23	8.09	5.09	590	0.55
SPAC29E6.01	58.26	8.02	7.17	506	0.62
SPAC29E6.02	62.59	10.14	20.8	542	0.56
SPAC29E6.03c	124.33	4.61	-53.31	1091	0.62
SPAC29E6.04	23.70	5.4	-6.43	205	0.54
SPAC29E6.05c	19.44	6.67	-0.9	170	0.57
SPAC29E6.06c	85.55	6.52	-5.38	754	0.58
SPAC29E6.07	13.84	10.46	10.11	116	0.56
SPAC29E6.08	25.44	9.51	5.65	231	0.54
SPAC29E6.09	37.86	4.16	-25.84	339	0.59
SPAC29E6.10c	122.94	5.63	-12.91	1085	0.61
SPAC2C4.03c	13.10	10.48	7.43	115	0.54
SPAC2C4.04c	14.55	6.95	-0.08	125	0.58
SPAC2C4.05	15.74	8.2	1.39	134	0.56
SPAC2C4.06c	51.88	9.21	17.95	460	0.6
SPAC2C4.07c	105.15	8.56	15.37	927	0.61
SPAC2C4.08	28.08	10.45	15.85	243	0.63
SPAC2C4.09	25.32	8.91	3.64	216	0.58
SPAC2C4.10c	19.69	6.14	-2.13	166	0.56
SPAC2C4.11c	26.39	10.38	8.95	241	0.52
SPAC2C4.12c	41.03	8.02	3.77	365	0.61
SPAC2C4.13	20.89	6.47	-0.72	199	0.52
SPAC2C4.14c	35.22	7.16	0.52	312	0.62
SPAC2C4.15c	47.23	4.53	-18.88	427	0.64
SPAC2C4.16c	22.59	11.54	29.63	200	0.49
SPAC2C4.17c	94.64	6.57	-3.57	840	0.62
SPAC2E12.02	66.95	5.35	-10.36	609	0.65
SPAC2E12.03c	31.63	5.04	-3.62	283	0.62
SPAC2E12.05	28.17	5.17	-7.46	248	0.61
SPAC2E1P3.01	37.93	6.81	-0.59	348	0.6
SPAC2E1P3.02c	56.47	5.36	-8.87	517	0.66
SPAC2E1P3.03c	154.92	9.57	42.48	1333	0.57
SPAC2E1P3.04	81.24	6.55	-9.71	712	0.58
SPAC2E1P3.05c	20.14	4.05	-3.39	197	0.52
SPAC2E1P5.01c	60.81	8.21	3.8	521	0.6
SPAC2E1P5.02c	18.65	9.41	8.99	163	0.57
SPAC2E1P5.03	34.79	10.59	24.13	303	0.62
SPAC2E1P5.04c	40.02	6.95	-0.23	355	0.55
SPAC2E1P5.05	59.13	6.09	-7.04	524	0.59
SPAC2F3.01	37.13	9.43	12.44	319	0.62
SPAC2F3.02	21.66	9.72	8.13	192	0.55
SPAC2F3.03c	48.07	10.17	19.85	425	0.57
SPAC2F3.04c	17.14	9.58	3.7	150	0.51
SPAC2F3.05c	31.17	6.97	-0.14	275	0.61
SPAC2F3.06c	101.72	4.21	-53.15	910	0.63
SPAC2F3.07c	11.72	10.47	9.6	101	0.5
SPAC2F3.08	61.74	6.32	-3.31	553	0.68
SPAC2F3.09	60.96	9.15	17.68	558	0.56
SPAC2F3.10	107.95	6.05	-14.83	949	0.63
SPAC2F3.11	43.30	7.71	1.97	384	0.56
SPAC2F3.12c	32.19	4.6	-17.11	279	0.58
SPAC2F3.13c	38.45	8.27	3.74	348	0.55
SPAC2F3.14c	37.67	4.61	-16.59	331	0.58
SPAC2F3.15	67.37	10.6	40.73	593	0.66
SPAC2F3.16	49.90	6.1	-10.48	425	0.6
SPAC2F3.17c	8.34	4.97	-1.04	75	0.47
SPAC2F3.18c	9.09	9.31	4.12	85	0.48
SPAC2F7.02c	36.69	5.03	-14.01	325	0.58
SPAC2F7.03c	121.15	9.61	35.44	1087	0.61
SPAC2F7.04	51.39	6.72	-2.27	454	0.58
SPAC2F7.05c	44.94	4.67	-22.73	395	0.55
SPAC2F7.06c	57.40	7.3	1.59	506	0.66
SPAC2F7.07c	68.78	6.55	-4.42	607	0.59
SPAC2F7.08c	68.31	6.91	-0.67	598	0.61
SPAC2F7.09c	55.05	10.35	29.38	491	0.57
SPAC2F7.10	72.52	8.45	17.96	642	0.56
SPAC2F7.11	57.76	8.96	10.64	529	0.59
SPAC2F7.13c	44.91	8.45	5.95	395	0.6
SPAC2F7.14c	36.69	4.59	-14.57	329	0.57
SPAC2F7.15	29.84	9.78	9.85	258	0.58
SPAC2F7.16c	157.73	7.29	5.78	1369	0.62
SPAC2F7.17	44.95	8.24	4.08	396	0.56
SPAC2G11.02	151.57	7.24	4.09	1318	0.6
SPAC2G11.03c	63.55	6.21	-6	558	0.58
SPAC2G11.04	33.41	7.06	0.28	301	0.54
SPAC2G11.05c	81.77	6.81	-1.75	701	0.62
SPAC2G11.06	48.40	6.7	-0.86	432	0.6
SPAC2G11.07c	44.86	4.49	-24.66	414	0.58
SPAC2G11.08c	17.38	4.38	-13.03	152	0.58
SPAC2G11.09	90.57	8.51	10.26	793	0.61
SPAC2G11.10c	44.42	8.04	5.21	401	0.58
SPAC2G11.11c	80.60	8.83	14.71	719	0.61
SPAC2G11.12	149.64	7.17	2.31	1328	0.61
SPAC2G11.13	58.64	6.74	-1.95	529	0.61
SPAC2G11.14	111.01	6.78	-2.25	979	0.62
SPAC2G11.15c	27.16	8.08	2.28	239	0.56
SPAC2H10.01	51.13	5.36	-8.93	480	0.56
SPAC2H10.02c	23.89	5.02	-6.88	213	0.59
SPAC2H10.04	14.77	8.8	4.08	124	0.54
SPAC30.01c	206.80	5	-48.6	1822	0.59
SPAC30.02c	32.49	6.05	-2.95	281	0.59
SPAC30.03c	25.49	6.4	-2.38	220	0.52
SPAC30.04c	164.79	8.29	13.04	1469	0.58
SPAC30C2.02	35.69	4.58	-14.87	318	0.54
SPAC30C2.03	24.66	10.17	15.32	210	0.51
SPAC30C2.04	50.61	9.49	14.69	450	0.57
SPAC30C2.05	15.99	6.66	-0.93	137	0.58
SPAC30C2.06c	53.00	4.58	-21.08	465	0.6
SPAC30C2.07	93.38	7.98	7.88	842	0.6
SPAC30C2.08	52.69	5.21	-14.14	457	0.59
SPAC30D11.01c	111.04	4.57	-31.15	993	0.63
SPAC30D11.02c	9.91	9.62	8.01	85	0.49
SPAC30D11.03	80.66	5.04	-17.95	714	0.56
SPAC30D11.04c	123.97	10.26	34.09	1159	0.63
SPAC30D11.05	18.64	5.23	-1.86	165	0.54
SPAC30D11.06c	49.29	6.98	-0.09	426	0.63
SPAC30D11.07	40.23	8.95	10.62	355	0.62
SPAC30D11.08c	60.70	5.2	-14.11	538	0.6
SPAC30D11.09	74.42	7.87	5.86	639	0.59
SPAC30D11.10	51.96	8.69	6.29	469	0.6
SPAC30D11.11	51.06	9.37	16.32	442	0.67
SPAC30D11.12	8.34	11.2	12.18	74	0.46
SPAC30D11.13	17.99	9.15	5.34	157	0.52
SPAC30D11.14c	59.03	9.31	9.08	534	0.61
SPAC31A2.02	14.08	4.37	-7.64	126	0.55
SPAC31A2.03	24.31	10.44	13.13	216	0.54
SPAC31A2.04c	21.97	7.2	0.28	194	0.51
SPAC31A2.05c	180.72	6.3	-12.09	1587	0.63
SPAC31A2.06	62.62	9.92	25.58	542	0.62
SPAC31A2.07c	94.66	10.13	31.09	848	0.59
SPAC31A2.08	18.98	10.47	13.43	161	0.57
SPAC31A2.09c	50.82	9.58	13.49	446	0.63
SPAC31A2.10	51.35	4.74	-15.47	460	0.62
SPAC31A2.11c	45.47	7.34	2.76	411	0.54
SPAC31A2.12	65.90	8.61	8.43	596	0.63
SPAC31A2.13c	10.54	10.5	5.97	91	0.51
SPAC31A2.14	107.28	7.01	0.09	962	0.58
SPAC31A2.15c	41.95	4.49	-16.44	357	0.59
SPAC31A2.16	126.54	6.1	-13.55	1101	0.6
SPAC31F12.01	103.10	6.09	-11.7	938	0.58
SPAC31G5.01	35.91	8.07	2.1	335	0.6
SPAC31G5.02	26.43	4.41	-11.13	232	0.53
SPAC31G5.03	17.50	11.01	19.36	152	0.47
SPAC31G5.04	39.26	8.58	4.8	362	0.5
SPAC31G5.05c	25.21	5.61	-5.43	228	0.6
SPAC31G5.06	27.49	10.29	17.96	234	0.59
SPAC31G5.07	25.39	10.44	14.45	234	0.57
SPAC31G5.08	28.52	6.26	-2.64	251	0.6
SPAC31G5.09c	42.00	7.17	0.94	372	0.64
SPAC31G5.10	65.28	9.28	12.95	569	0.65
SPAC31G5.11	26.11	7.66	1.37	235	0.63
SPAC31G5.12c	26.97	4.26	-15.4	238	0.6
SPAC31G5.13	34.57	6.74	-1.47	308	0.56
SPAC31G5.14	42.41	9.02	7.52	387	0.6
SPAC31G5.15	108.21	6.16	-6.54	967	0.62
SPAC31G5.16c	26.67	8.59	2.19	236	0.56
SPAC31G5.17c	16.28	10.45	10.91	144	0.45
SPAC31G5.18c	29.25	7.04	0.08	263	0.57
SPAC31G5.19	135.35	4.99	-34.14	1190	0.62
SPAC31G5.21	13.71	10.31	8.95	118	0.52
SPAC323.01c	43.50	9.87	15.21	386	0.62
SPAC323.02c	27.57	4.68	-14.12	247	0.55
SPAC323.03c	66.19	7.63	3.46	575	0.62
SPAC323.04	54.84	9.79	19.11	487	0.62
SPAC323.05c	25.56	4.96	-4.64	231	0.59
SPAC323.06c	59.57	5.4	-12.12	517	0.6
SPAC323.07c	58.60	7.39	2.52	533	0.6
SPAC323.08	24.20	10.29	10.71	211	0.55
SPAC328.01c	140.42	5.04	-36.31	1234	0.63
SPAC328.02	58.94	4.78	-26.75	504	0.61
SPAC328.03	58.49	6.09	-8.31	513	0.63
SPAC328.04	81.76	8.2	5.49	741	0.64
SPAC328.05	51.59	7.04	0.24	464	0.59
SPAC328.06	130.30	4.88	-42.95	1141	0.59
SPAC328.07c	30.56	4.11	-24.13	277	0.62
SPAC328.08c	30.07	8.29	5.18	259	0.62
SPAC328.09	33.10	10.42	19.82	298	0.57
SPAC328.10c	22.36	10.55	11.62	203	0.44
SPAC32A11.01	82.46	8.57	15.01	720	0.59
SPAC32A11.02c	97.08	9.58	17.08	851	0.7
SPAC32A11.03c	103.99	6.52	-4.75	942	0.6
SPAC32A11.04c	35.96	8.56	4.09	321	0.54
SPAC343.01c	47.32	5.99	-3.89	426	0.61
SPAC343.02	21.37	11.44	27.14	182	0.55
SPAC343.03	10.56	7.29	0.66	94	0.55
SPAC343.04c	58.40	6.1	-8.49	507	0.6
SPAC343.05	68.81	6.05	-7.85	619	0.52
SPAC343.06c	43.15	5.39	-9.4	381	0.59
SPAC343.07	68.55	7.45	3.28	609	0.63
SPAC343.08c	12.60	10.02	6.15	111	0.54
SPAC343.09	44.90	5.07	-10.84	410	0.6
SPAC343.10	72.14	6.28	-7.12	641	0.62
SPAC343.11c	180.35	6.45	-12.17	1588	0.59
SPAC343.12	43.83	4.36	-16.9	402	0.51
SPAC343.13	58.61	9.42	13.19	526	0.64
SPAC343.14c	43.22	6.43	-2.92	393	0.55
SPAC343.15	50.12	8.93	9.68	434	0.61
SPAC343.16	74.65	8.19	6.57	690	0.55
SPAC343.17c	63.66	6.16	-5.51	576	0.58
SPAC343.18	23.06	9.86	12.19	205	0.55
SPAC343.19	71.86	5.56	-10.33	624	0.59
SPAC343.20	13.06	10.09	10.32	113	0.53
SPAC343.21	18.32	10.05	11.1	158	0.51
SPAC3A11.02	62.81	8.54	6.48	583	0.6
SPAC3A11.03	33.05	5.16	-5.22	289	0.62
SPAC3A11.04	28.67	9.99	10.63	249	0.55
SPAC3A11.05c	69.24	6.22	-7.38	607	0.6
SPAC3A11.06	77.34	6.97	-0.25	667	0.62
SPAC3A11.07	61.67	9.28	13.67	551	0.54
SPAC3A11.08	85.33	6.56	-4.75	734	0.7
SPAC3A11.09	87.60	6.48	-6.26	778	0.58
SPAC3A11.10c	46.05	6.68	-3.24	409	0.58
SPAC3A11.11c	36.88	5.8	-6.95	334	0.6
SPAC3A11.12c	48.84	4.72	-15.84	438	0.55
SPAC3A11.13	12.81	5.94	-0.76	114	0.54
SPAC3A11.14c	96.34	6.93	-0.91	832	0.57
SPAC3A12.02	32.90	8.86	6.51	286	0.68
SPAC3A12.03c	35.06	4.85	-12.16	309	0.6
SPAC3A12.04c	28.17	9.81	8.38	247	0.58
SPAC3A12.05c	133.91	6.65	-5.57	1172	0.63
SPAC3A12.06c	82.40	6.82	-1.8	743	0.63
SPAC3A12.07	14.13	4.66	-7.07	123	0.55
SPAC3A12.08	23.92	9.15	3.19	214	0.57
SPAC3A12.09c	33.39	8.95	8.46	290	0.58
SPAC3A12.10	20.60	11.05	22.42	176	0.47
SPAC3A12.11c	44.28	5.4	-8.23	388	0.6
SPAC3A12.12	32.85	10.08	16.78	286	0.55
SPAC3A12.13c	30.53	4.53	-12.77	274	0.58
SPAC3A12.14	16.91	3.9	-20.74	150	0.49
SPAC3A12.15	87.50	7.55	1.81	756	0.62
SPAC3A12.16c	16.90	9.84	6.34	164	0.44
SPAC3A12.17c	43.09	7.83	3.19	395	0.57
SPAC3A12.18	57.20	6.06	-5.81	500	0.6
SPAC3A12.19	10.39	10.59	8.87	93	0.55
SPAC3C7.01c	70.86	8.99	14.05	611	0.62
SPAC3C7.02c	43.30	4.76	-14.41	383	0.53
SPAC3C7.03c	39.00	8.44	4.53	350	0.6
SPAC3C7.04	87.96	5.51	-17.52	783	0.6
SPAC3C7.05c	49.78	6.77	-1.14	442	0.58
SPAC3C7.06c	72.83	8.14	5.39	650	0.6
SPAC3C7.07c	45.09	7.88	3.6	391	0.6
SPAC3C7.08c	116.70	6.49	-7.91	1057	0.56
SPAC3C7.09	49.60	5.59	-5.08	429	0.61
SPAC3C7.10	32.05	8.71	3.86	288	0.6
SPAC3C7.11c	63.47	4.13	-56.47	560	0.5
SPAC3C7.12	52.61	4.3	-36.64	461	0.58
SPAC3C7.13c	54.43	8.56	6.04	473	0.62
SPAC3C7.14c	21.90	6.8	-0.57	202	0.54
SPAC3F10.02c	96.04	9.66	23.62	841	0.62
SPAC3F10.03	74.00	5.73	-10.78	652	0.53
SPAC3F10.04	56.15	6.37	-3.73	498	0.6
SPAC3F10.05c	37.87	7.05	0.16	326	0.57
SPAC3F10.06c	50.85	7.09	0.6	453	0.61
SPAC3F10.07c	19.59	6.72	-1.15	172	0.62
SPAC3F10.08c	29.33	9.81	5.94	259	0.51
SPAC3F10.09	29.35	5.65	-4.7	264	0.57
SPAC3F10.10c	42.50	8.57	7.84	365	0.64
SPAC3F10.11c	166.94	9.21	30.45	1478	0.59
SPAC3F10.12c	23.01	6.68	-0.91	201	0.51
SPAC3F10.13	68.72	6.26	-8.62	612	0.6
SPAC3F10.15c	10.13	9.95	4.91	90	0.46
SPAC3F10.16c	69.67	9.61	11.37	616	0.58
SPAC3F10.17	44.48	4.45	-26.74	386	0.57
SPAC3F10.18c	3.41	13.11	15.97	25	0.18
SPAC3F10.19	11.83	4.86	-5.04	102	0.44
SPAC3G6.01	159.38	6.74	-4.4	1388	0.59
SPAC3G6.02	8.11	3.48	-18	71	0.41
SPAC3G6.03c	26.89	4.74	-12.13	241	0.59
SPAC3G6.04	42.07	10.08	14.14	369	0.57
SPAC3G6.05	23.41	10.08	7.16	206	0.55
SPAC3G6.06c	42.87	8.96	8.24	380	0.6
SPAC3G6.07	14.67	4.57	-5.53	125	0.52
SPAC3G6.08	20.77	7.15	0.22	182	0.61
SPAC3G6.09c	96.34	7.51	4.91	849	0.59
SPAC3G6.10c	17.51	7.5	0.64	159	0.5
SPAC3G6.11	96.20	6.76	-2.59	844	0.65
SPAC3G6.13c	3.41	13.11	15.97	25	0.18
SPAC3G9.01	51.57	10.86	45.34	462	0.61
SPAC3G9.02	25.60	9.7	8.07	236	0.55
SPAC3G9.03	14.88	10.85	13.88	139	0.48
SPAC3G9.04	22.60	5.7	-3.19	197	0.61
SPAC3G9.05	73.87	6.73	-2.29	659	0.61
SPAC3G9.06	56.27	7.15	0.76	499	0.57
SPAC3G9.07c	49.38	5.56	-12.32	434	0.61
SPAC3G9.08	31.28	5.63	-6.28	283	0.57
SPAC3G9.09c	34.53	6.42	-2.42	306	0.57
SPAC3G9.10c	26.87	4.83	-7.22	242	0.59
SPAC3G9.11c	62.65	5.47	-13.25	570	0.57
SPAC3G9.12	164.09	6.54	-10.06	1462	0.61
SPAC3G9.13c	39.87	9.17	9.21	361	0.58
SPAC3G9.14	86.40	6.7	-4.94	766	0.63
SPAC3G9.15c	26.68	10.2	13.95	230	0.62
SPAC3G9.16c	18.33	7.5	1.06	155	0.62
SPAC3G9.17	15.27	9.9	7.37	132	0.55
SPAC3H1.01c	80.19	5.66	-14.8	690	0.62
SPAC3H1.02c	117.42	4.72	-35.69	1036	0.6
SPAC3H1.03	17.24	6.52	-1.55	146	0.51
SPAC3H1.04c	69.43	10.32	27.35	601	0.61
SPAC3H1.05	50.75	9.11	8.05	444	0.57
SPAC3H1.06c	63.52	9.23	11.93	589	0.63
SPAC3H1.07	35.70	5.4	-9.46	323	0.55
SPAC3H1.08c	24.64	9.89	5.48	211	0.53
SPAC3H1.09c	73.06	9.77	18.9	656	0.57
SPAC3H1.10	46.74	8.35	9.13	414	0.64
SPAC3H1.11	64.13	8.5	10	582	0.53
SPAC3H1.12c	127.32	8.38	27.5	1117	0.62
SPAC3H1.13	39.01	7.13	0.55	344	0.58
SPAC3H1.14	22.65	8.61	3.6	195	0.6
SPAC3H5.04	39.22	4.15	-29.32	346	0.59
SPAC3H5.05c	14.70	11.33	10.67	139	0.43
SPAC3H5.06c	159.35	6.87	-1.36	1405	0.6
SPAC3H5.07	28.45	10.72	21.19	250	0.45
SPAC3H5.08c	103.69	8.57	16.79	933	0.65
SPAC3H5.09c	311.84	7.61	18.38	2699	0.62
SPAC3H5.10	14.46	11.77	22.4	127	0.48
SPAC3H5.11	44.90	5.98	-8.66	393	0.65
SPAC3H5.12c	33.46	9.46	7.17	294	0.48
SPAC3H5.13	16.74	4.17	-17.06	146	0.52
SPAC3H8.02	51.47	7.28	1.39	444	0.57
SPAC3H8.03	12.09	11.46	12.69	105	0.53
SPAC3H8.04	38.47	9.22	15.74	338	0.6
SPAC3H8.05c	120.60	5.76	-17.24	1073	0.58
SPAC3H8.06	47.44	8.52	8.31	422	0.57
SPAC3H8.07c	19.45	4.96	-3.79	169	0.54
SPAC3H8.08c	64.69	5.13	-12.38	563	0.66
SPAC3H8.09c	82.43	5.11	-20.61	738	0.57
SPAC3H8.10	32.75	7.15	0.49	286	0.57
SPAC458.02c	53.74	9.61	9.43	468	0.52
SPAC458.03	99.05	5.45	-14.06	868	0.63
SPAC458.04c	41.08	7.22	0.92	360	0.58
SPAC458.05	92.13	7.5	3.03	801	0.61
SPAC458.06	41.01	8.47	8.3	364	0.57
SPAC458.07	49.12	4.45	-26.48	434	0.59
SPAC4A8.02c	15.88	7.68	0.91	142	0.51
SPAC4A8.03c	43.57	9.1	9	383	0.63
SPAC4A8.04	49.37	5.19	-17.28	467	0.53
SPAC4A8.05c	242.57	6.6	-10.67	2104	0.61
SPAC4A8.06c	66.11	9	13.82	578	0.57
SPAC4A8.07c	51.29	7.06	0.34	458	0.55
SPAC4A8.08c	109.63	9.44	26.91	950	0.61
SPAC4A8.09c	34.55	8.97	4.9	293	0.52
SPAC4A8.10	86.65	6.63	-5.42	785	0.59
SPAC4A8.11c	202.17	6.06	-17.09	1842	0.54
SPAC4A8.12c	38.07	4.63	-13.17	332	0.62
SPAC4A8.13c	29.99	6.95	-0.21	272	0.54
SPAC4A8.14	45.35	5.08	-12.61	409	0.57
SPAC4A8.15c	13.41	5.82	-0.83	127	0.49
SPAC4A8.16c	104.37	4.59	-49.5	918	0.54
SPAC4C5.01	27.38	8.79	4.1	249	0.58
SPAC4C5.02c	23.14	5.39	-3.34	201	0.52
SPAC4C5.03	33.85	8.46	5.67	302	0.61
SPAC4C5.04	34.70	5.09	-5.45	307	0.6
SPAC4D7.01c	206.93	5.73	-33.09	1811	0.61
SPAC4D7.02c	35.58	6.67	-2.55	311	0.52
SPAC4D7.03	79.60	7.07	0.84	703	0.6
SPAC4D7.04c	30.54	6.88	-0.43	264	0.57
SPAC4D7.05	36.81	6	-5.68	328	0.52
SPAC4D7.06c	29.44	9.66	8.59	264	0.64
SPAC4D7.07c	69.54	8.07	6.11	601	0.62
SPAC4D7.08c	59.83	6.13	-7.67	533	0.54
SPAC4D7.09	50.46	6.58	-2.64	458	0.62
SPAC4D7.10c	54.03	9.06	7.29	473	0.6
SPAC4D7.11	31.72	4.44	-10.37	281	0.63
SPAC4D7.12c	31.54	3.96	-30.96	276	0.54
SPAC4D7.13	81.93	6.85	-1.21	695	0.61
SPAC4D7.14	13.53	10.99	15.43	121	0.5
SPAC4D7.15	10.62	4.28	-6.56	93	0.54
SPAC4F10.02	52.44	5.99	-8.59	473	0.6
SPAC4F10.03c	31.47	6.66	-1.01	285	0.56
SPAC4F10.04	37.17	7.36	1.34	325	0.6
SPAC4F10.05c	24.50	10.4	17.32	219	0.57
SPAC4F10.06	44.88	10.12	17.12	388	0.58
SPAC4F10.07c	83.71	8.63	12.52	758	0.58
SPAC4F10.08	45.74	4.47	-19.25	398	0.62
SPAC4F10.09c	97.99	5.1	-29.02	860	0.58
SPAC4F10.10c	38.30	6.69	-1.62	337	0.62
SPAC4F10.11	53.74	5.31	-12.92	469	0.6
SPAC4F10.12	32.34	7.55	1.1	280	0.65
SPAC4F10.13c	106.14	8.4	5.56	992	0.55
SPAC4F10.14c	16.20	6	-0.76	151	0.46
SPAC4F10.15c	59.60	9.65	10.57	574	0.54
SPAC4F10.16c	154.28	6.71	-4.96	1367	0.64
SPAC4F10.17	13.92	10.27	6.99	123	0.46
SPAC4F10.18	42.78	5.1	-11.45	391	0.58
SPAC4F10.19c	17.43	4.72	-6.49	154	0.57
SPAC4F10.20	11.26	6.78	-0.35	101	0.48
SPAC4F10.22	8.12	8.04	2	70	0.51
SPAC4F8.01	23.93	5.09	-3.74	210	0.54
SPAC4F8.02c	31.76	10.51	18.4	279	0.55
SPAC4F8.03	28.08	8.86	5.08	246	0.54
SPAC4F8.04	35.83	9.92	11.6	306	0.58
SPAC4F8.05c	13.79	10.62	11.15	118	0.53
SPAC4F8.06	17.87	11.87	25.63	162	0.57
SPAC4F8.07c	50.92	6.2	-4.75	455	0.52
SPAC4F8.08	17.46	10.74	14.86	151	0.55
SPAC4F8.10c	20.14	9.1	3.65	174	0.59
SPAC4F8.11	93.23	7.03	0.26	846	0.6
SPAC4F8.12c	274.55	9.26	44.56	2363	0.58
SPAC4F8.13c	171.68	9.66	41.41	1489	0.62
SPAC4F8.14c	49.24	7.44	1.64	447	0.52
SPAC4F8.15	62.76	7.68	2.52	575	0.56
SPAC4G8.02c	7.79	10.02	4.42	70	0.48
SPAC4G8.03c	88.23	9.25	21.63	780	0.61
SPAC4G8.04	86.23	7.15	1.29	772	0.59
SPAC4G8.05	63.48	7.92	6.1	566	0.6
SPAC4G8.06c	47.98	7.8	2.95	418	0.59
SPAC4G8.07c	53.67	8.08	4.87	477	0.58
SPAC4G8.08	30.00	9.81	13.51	271	0.59
SPAC4G8.09	100.89	9.12	23.09	874	0.62
SPAC4G8.10	21.07	8.92	1.96	182	0.53
SPAC4G8.11c	31.38	10.28	18.61	267	0.6
SPAC4G8.12c	62.20	8.64	11.71	533	0.61
SPAC4G8.13c	74.19	5.83	-11.16	681	0.58
SPAC4G9.02	36.81	5.14	-6.91	326	0.57
SPAC4G9.03	24.37	6.53	-1.06	220	0.53
SPAC4G9.04c	70.38	6.04	-7.88	638	0.58
SPAC4G9.05	66.87	7.31	1.81	581	0.6
SPAC4G9.06c	13.09	3.65	-29.77	113	0.51
SPAC4G9.07	60.36	7.2	1.16	513	0.61
SPAC4G9.08c	130.24	8.55	18.44	1165	0.58
SPAC4G9.09c	97.70	9.78	25.72	885	0.58
SPAC4G9.10	36.12	7.92	2.53	327	0.54
SPAC4G9.11c	23.46	10.55	15.71	199	0.59
SPAC4G9.12	21.65	6.79	-0.68	193	0.58
SPAC4G9.13c	35.78	6.73	-1.12	298	0.6
SPAC4G9.14	25.41	9.89	9.36	221	0.65
SPAC4G9.15	37.31	10.17	18.27	341	0.58
SPAC4G9.16c	21.51	9.99	8.86	190	0.47
SPAC4G9.17c	43.96	9.68	14.01	387	0.61
SPAC4G9.19	31.52	9.87	11.4	270	0.6
SPAC4G9.20c	32.74	9.79	16.44	298	0.59
SPAC4G9.22	10.62	4.22	-9.7	94	0.49
SPAC4H3.01	44.77	6.37	-1.3	392	0.58
